,"2016","2016","2016"
,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)"
,"18+  years","18+  years","18+  years"
"Spain","67.2 [63.2-71.1]","73.6 [68.2-78.6]","61.0 [55.2-66.6]"
"Sri Lanka","24.2 [20.2-28.3]","19.2 [13.9-25.2]","28.7 [23.2-34.8]"
"Sudan","No data","No data","No data"
"Sudan (former)","25.7 [21.6-30.2]","17.8 [12.6-24.0]","32.4 [26.4-39.1]"
"Suriname","59.0 [54.0-64.0]","53.4 [45.7-60.8]","64.5 [57.5-71.1]"
"Sweden","59.9 [55.8-64.0]","67.3 [61.5-72.6]","52.8 [46.8-58.6]"
"Switzerland","57.9 [53.5-61.9]","66.2 [60.2-71.7]","49.9 [43.5-55.9]"
"Syrian Arab Republic","57.9 [53.0-62.8]","54.0 [47.1-61.0]","61.9 [55.2-68.5]"
"Tajikistan","41.7 [36.5-47.2]","40.9 [33.0-49.2]","42.4 [35.6-49.5]"
"Thailand","34.7 [30.2-39.4]","30.9 [24.5-38.0]","38.3 [32.1-44.8]"
"Timor-Leste","17.9 [14.6-21.4]","15.6 [11.0-20.6]","20.3 [15.5-25.5]"
"Togo","25.0 [21.1-29.1]","17.6 [12.6-23.1]","32.0 [26.2-38.0]"
"Tonga","75.6 [71.2-79.7]","71.0 [63.9-77.4]","80.1 [74.8-84.9]"
"Trinidad and Tobago","48.1 [41.6-54.7]","38.7 [29.4-48.4]","57.1 [48.6-65.9]"
"Tunisia","62.2 [57.7-66.6]","57.4 [50.8-64.2]","66.7 [60.8-72.5]"
"Turkey","66.9 [63.4-70.4]","63.7 [58.2-69.1]","70.0 [65.1-74.5]"
"Turkmenistan","49.6 [44.4-54.7]","49.7 [42.1-57.1]","49.5 [42.5-56.7]"
"Tuvalu","81.0 [77.1-84.5]","78.9 [73.2-84.0]","83.1 [78.2-87.5]"
"Uganda","19.0 [15.6-22.5]","11.8 [7.9-16.3]","26.2 [21.0-31.6]"
"Ukraine","61.9 [56.4-67.4]","63.9 [56.3-71.0]","60.3 [52.6-67.7]"
"United Arab Emirates","65.9 [60.7-71.0]","65.2 [58.5-71.7]","67.7 [61.0-74.2]"
"United Kingdom of Great Britain and Northern Ireland","67.2 [64.3-70.0]","71.8 [67.7-75.7]","62.7 [58.5-66.9]"
"United Republic of Tanzania","24.5 [20.9-28.3]","17.4 [12.6-23.0]","31.4 [26.1-36.9]"
"United States of America","70.2 [66.8-73.3]","74.8 [70.4-79.0]","65.8 [61.0-70.4]"
"Uruguay","64.5 [59.8-69.2]","65.9 [59.2-72.3]","63.3 [56.4-69.9]"
"Uzbekistan","45.7 [40.5-51.0]","44.9 [37.2-52.4]","46.5 [39.4-53.8]"
"Vanuatu","54.1 [48.0-60.1]","49.4 [40.4-58.2]","58.9 [51.0-66.6]"
"Venezuela (Bolivarian Republic of)","62.6 [58.4-66.9]","62.0 [55.9-68.2]","63.2 [57.1-69.1]"
"Viet Nam","18.3 [14.7-21.7]","15.9 [11.5-21.0]","20.5 [15.6-25.8]"
"Yemen","42.3 [37.5-47.3]","38.3 [31.0-45.4]","46.3 [39.5-53.0]"
"Zambia","23.9 [20.2-27.9]","16.7 [11.8-22.5]","31.0 [25.6-36.9]"
"Zimbabwe","32.4 [28.2-36.8]","18.8 [13.6-24.4]","45.5 [39.1-52.1]"
