,"2016","2016","2016"
,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)"
"Country","Both sexes","Male","Female"
"Tajikistan","12.6 [9.2-16.6]","10.4 [6.0-16.2]","14.6 [9.9-20.2]"
"Thailand","10.8 [8.0-14.0]","7.5 [4.5-11.5]","13.8 [9.5-18.9]"
"Timor-Leste","2.9 [1.9-4.4]","2.1 [0.9-3.9]","3.8 [2.1-6.1]"
"Togo","7.1 [4.9-9.7]","3.4 [1.6-5.9]","10.7 [7.0-15.2]"
"Tonga","45.9 [39.7-51.9]","39.0 [30.1-48.0]","52.6 [44.4-60.5]"
"Trinidad and Tobago","19.7 [14.5-25.7]","11.4 [6.1-18.7]","27.7 [19.0-37.2]"
"Tunisia","27.3 [22.4-32.1]","19.3 [13.2-25.9]","34.9 [27.5-42.2]"
"Turkey","32.2 [28.4-36.1]","24.2 [19.1-29.6]","39.7 [34.1-45.5]"
"Turkmenistan","17.5 [13.3-22.3]","15.0 [9.4-21.8]","19.9 [13.7-26.6]"
"Tuvalu","51.0 [44.4-57.3]","46.4 [37.1-55.7]","55.6 [46.7-63.9]"
"Uganda","4.1 [2.8-5.8]","1.5 [0.7-2.7]","6.8 [4.3-9.9]"
"Ukraine","26.1 [20.2-32.3]","23.2 [15.2-32.0]","28.4 [20.1-37.5]"
"United Arab Emirates","29.9 [24.0-36.0]","26.7 [19.4-34.4]","38.8 [30.7-47.3]"
"United Kingdom of Great Britain and Northern Ireland","29.5 [26.6-32.5]","28.6 [24.4-32.8]","30.4 [26.3-34.7]"
"United Republic of Tanzania","7.1 [5.3-9.4]","3.4 [1.8-5.8]","10.7 [7.7-14.7]"
"United States of America","37.3 [33.4-41.3]","36.5 [30.9-42.2]","38.2 [32.7-43.5]"
"Uruguay","28.9 [23.7-34.4]","25.3 [18.4-32.9]","32.1 [24.6-40.0]"
"Uzbekistan","15.3 [11.5-19.8]","12.9 [7.9-19.1]","17.7 [12.1-24.0]"
"Vanuatu","23.5 [18.2-29.1]","18.8 [11.9-27.0]","28.1 [20.4-36.5]"
"Venezuela (Bolivarian Republic of)","25.2 [20.9-29.8]","22.1 [16.1-28.6]","28.3 [22.2-34.9]"
"Viet Nam","2.1 [1.4-3.1]","1.6 [0.8-2.8]","2.6 [1.5-4.2]"
"Yemen","14.1 [10.8-17.8]","9.9 [6.0-14.8]","18.2 [13.1-24.0]"
"Zambia","6.5 [4.6-8.8]","3.0 [1.4-5.6]","10.0 [6.7-14.0]"
"Zimbabwe","12.3 [9.4-15.6]","3.7 [2.0-6.3]","20.5 [15.2-26.7]"
